clip_filename,source_filename,label,session,clip_index,start_seconds,end_seconds,sample_rate_hz,channels,qc_metadata_found,qc_file_found,qc_readable,qc_invalid_audio_flag,qc_error,qc_relative_path,qc_file_path,qc_label_for_group,qc_duration_seconds,qc_expected_duration_seconds,qc_sample_rate_hz,qc_expected_sample_rate_hz,qc_channels,qc_expected_channels,qc_sample_width_bytes,qc_frame_count,qc_sample_count,qc_peak_amplitude,qc_rms_amplitude,qc_rms_dbfs,qc_clipped_sample_percent,qc_audio_sha256,qc_duplicate_flag,qc_duplicate_group_id,qc_duplicate_count,qc_duplicate_of,qc_duration_flag,qc_unexpected_sample_rate_flag,qc_unexpected_channels_flag,qc_metadata_mismatch_flag,qc_nearly_silent_flag,qc_clipping_flag,qc_amplitude_outlier_flag,qc_rms_dbfs_label_median,qc_rms_dbfs_modified_z,qc_any_flag,qc_flag_reasons,qc_spectrogram_path
single_note_session01_0000.wav,single_note_session01.wav,single_note,session_01,0,0,1,44100,2,true,true,true,false,,session_01/single_note/single_note_session01_0000.wav,/Users/aryamaandash/GitHub/guitar-style-classifier/data/processed/session_01/single_note/single_note_session01_0000.wav,single_note,1.000000,1.000000,44100,44100,2,2,2,44100,88200,0.988495,0.279577,-11.069966,0.036281,2064fc2165af3e841039a5aeab395d275c424f0a547df2b7601f642269b77593,false,,1,,false,false,false,false,false,true,false,-19.455248,2.071236,true,clipping,/Users/aryamaandash/GitHub/guitar-style-classifier/results/qc/20260625_175307/spectrograms/single_note/single_note_session01_0000.png
single_note_session01_0001.wav,single_note_session01.wav,single_note,session_01,1,1,2,44100,2,true,true,true,false,,session_01/single_note/single_note_session01_0001.wav,/Users/aryamaandash/GitHub/guitar-style-classifier/data/processed/session_01/single_note/single_note_session01_0001.wav,single_note,1.000000,1.000000,44100,44100,2,2,2,44100,88200,0.802704,0.227359,-12.865745,0.000000,e81087d33ecaea70317c6810e7a46727154761c54d9cc88a0b91b9e669de6523,false,,1,,false,false,false,false,false,false,false,-19.455248,1.627663,false,,
single_note_session01_0002.wav,single_note_session01.wav,single_note,session_01,2,2,3,44100,2,true,true,true,false,,session_01/single_note/single_note_session01_0002.wav,/Users/aryamaandash/GitHub/guitar-style-classifier/data/processed/session_01/single_note/single_note_session01_0002.wav,single_note,1.000000,1.000000,44100,44100,2,2,2,44100,88200,0.892548,0.298834,-10.491412,0.000000,cf631eb7d7225c8daae2ee856ac1e2b8d8898be168f147bdfa49fd4654846922,false,,1,,false,false,false,false,false,false,false,-19.455248,2.214143,false,,
single_note_session01_0003.wav,single_note_session01.wav,single_note,session_01,3,3,4,44100,2,true,true,true,false,,session_01/single_note/single_note_session01_0003.wav,/Users/aryamaandash/GitHub/guitar-style-classifier/data/processed/session_01/single_note/single_note_session01_0003.wav,single_note,1.000000,1.000000,44100,44100,2,2,2,44100,88200,0.747803,0.251126,-12.002170,0.000000,e82f5950653faf5eb2d8c2018d28fd57a479e89658c97ebb8e0dfd97bf8fd960,false,,1,,false,false,false,false,false,false,false,-19.455248,1.840973,false,,
single_note_session01_0004.wav,single_note_session01.wav,single_note,session_01,4,4,5,44100,2,true,true,true,false,,session_01/single_note/single_note_session01_0004.wav,/Users/aryamaandash/GitHub/guitar-style-classifier/data/processed/session_01/single_note/single_note_session01_0004.wav,single_note,1.000000,1.000000,44100,44100,2,2,2,44100,88200,0.838867,0.258531,-11.749759,0.000000,b650bb556f1a6236c59be0008dbdea8efe656b707b6eeb3f1696e12afcc5ed99,false,,1,,false,false,false,false,false,false,false,-19.455248,1.903321,false,,
single_note_session01_0005.wav,single_note_session01.wav,single_note,session_01,5,5,6,44100,2,true,true,true,false,,session_01/single_note/single_note_session01_0005.wav,/Users/aryamaandash/GitHub/guitar-style-classifier/data/processed/session_01/single_note/single_note_session01_0005.wav,single_note,1.000000,1.000000,44100,44100,2,2,2,44100,88200,0.644318,0.212923,-13.435532,0.000000,648d0804ccccc5a104e4851c128d91a889d8b224e6de1ca4bb6ba7c8c9cd080b,false,,1,,false,false,false,false,false,false,false,-19.455248,1.486921,false,,
single_note_session01_0006.wav,single_note_session01.wav,single_note,session_01,6,6,7,44100,2,true,true,true,false,,session_01/single_note/single_note_session01_0006.wav,/Users/aryamaandash/GitHub/guitar-style-classifier/data/processed/session_01/single_note/single_note_session01_0006.wav,single_note,1.000000,1.000000,44100,44100,2,2,2,44100,88200,0.913605,0.267301,-11.459979,0.000000,65ee20494a52eece171ef30c3f68df43f619c7ae5eca33b893257ea07960c3be,false,,1,,false,false,false,false,false,false,false,-19.455248,1.974899,false,,
single_note_session01_0007.wav,single_note_session01.wav,single_note,session_01,7,7,8,44100,2,true,true,true,false,,session_01/single_note/single_note_session01_0007.wav,/Users/aryamaandash/GitHub/guitar-style-classifier/data/processed/session_01/single_note/single_note_session01_0007.wav,single_note,1.000000,1.000000,44100,44100,2,2,2,44100,88200,0.566437,0.163049,-15.753659,0.000000,c5f207826ff018ace48d606dea0c7c84a35361522fb7396d690145a082388222,false,,1,,false,false,false,false,false,false,false,-19.455248,0.914324,false,,
single_note_session01_0008.wav,single_note_session01.wav,single_note,session_01,8,8,9,44100,2,true,true,true,false,,session_01/single_note/single_note_session01_0008.wav,/Users/aryamaandash/GitHub/guitar-style-classifier/data/processed/session_01/single_note/single_note_session01_0008.wav,single_note,1.000000,1.000000,44100,44100,2,2,2,44100,88200,0.586792,0.253388,-11.924271,0.000000,fbe134b5409461da0247cd0b238619be575cb87f927ae008c0b6ace6c50f80e1,false,,1,,false,false,false,false,false,false,false,-19.455248,1.860215,false,,
single_note_session01_0009.wav,single_note_session01.wav,single_note,session_01,9,9,10,44100,2,true,true,true,false,,session_01/single_note/single_note_session01_0009.wav,/Users/aryamaandash/GitHub/guitar-style-classifier/data/processed/session_01/single_note/single_note_session01_0009.wav,single_note,1.000000,1.000000,44100,44100,2,2,2,44100,88200,0.549561,0.205957,-13.724472,0.000000,7c65f1dc82e2f5c2adf1535a8b8ee9120c65a738490a71fc92c9cf2122f6a202,false,,1,,false,false,false,false,false,false,false,-19.455248,1.415550,false,,
